ID	mz	accession	name	expMass	calcMass	delta	adduct	adductFromExp	charge	chemical_formula
1	61.9885150540675	C00244	Nitrate	62.995791054067496	62.9956	3.0328160616417246	[M-H]-	0	-1.0	HNO3
2	61.9886696067653	C00244	Nitrate	62.9959456067653	62.9956	5.486204834835806	[M-H]-	0	-1.0	HNO3
5	71.0135638858874	C00511	Acrylic_acid	72.0208398858874	72.0211	-3.6116375979595166	[M-H]-	0	-1.0	C3H4O2
5	71.0135638858874	C00546	Methylglyoxal	72.0208398858874	72.0211	-3.6116375979595166	[M-H]-	0	-1.0	C3H4O2
5	71.0135638858874	C19246	Glycidaldehyde	72.0208398858874	72.0211	-3.6116375979595166	[M-H]-	0	-1.0	C3H4O2
5	71.0135638858874	C19297	Propiolactone	72.0208398858874	72.0211	-3.6116375979595166	[M-H]-	0	-1.0	C3H4O2
5	71.0135638858874	C19440	Malonaldehyde	72.0208398858874	72.0211	-3.6116375979595166	[M-H]-	0	-1.0	C3H4O2
6	71.0136273204513	C00511	Acrylic_acid	72.02090332045131	72.0211	-2.7308601047973924	[M-H]-	0	-1.0	C3H4O2
6	71.0136273204513	C00546	Methylglyoxal	72.02090332045131	72.0211	-2.7308601047973924	[M-H]-	0	-1.0	C3H4O2
6	71.0136273204513	C19246	Glycidaldehyde	72.02090332045131	72.0211	-2.7308601047973924	[M-H]-	0	-1.0	C3H4O2
6	71.0136273204513	C19297	Propiolactone	72.02090332045131	72.0211	-2.7308601047973924	[M-H]-	0	-1.0	C3H4O2
6	71.0136273204513	C19440	Malonaldehyde	72.02090332045131	72.0211	-2.7308601047973924	[M-H]-	0	-1.0	C3H4O2
7	72.9926961774736	C00048	Glyoxylate	73.99997217747361	74.0004	-5.781354241197167	[M-H]-	0	-1.0	C2H2O3
8	73.0293901195974	C00163	Propanoate	74.0366661195974	74.0368	-1.8082953693371286	[M-H]-	0	-1.0	C3H6O2
8	73.0293901195974	C00424	(S)-Lactaldehyde	74.0366661195974	74.0368	-1.8082953693371286	[M-H]-	0	-1.0	C3H6O2
8	73.0293901195974	C00937	(R)-Lactaldehyde	74.0366661195974	74.0368	-1.8082953693371286	[M-H]-	0	-1.0	C3H6O2
8	73.0293901195974	C00969	3-Hydroxypropanal	74.0366661195974	74.0368	-1.8082953693371286	[M-H]-	0	-1.0	C3H6O2
8	73.0293901195974	C05235	Hydroxyacetone	74.0366661195974	74.0368	-1.8082953693371286	[M-H]-	0	-1.0	C3H6O2
8	73.0293901195974	C05999	Lactaldehyde	74.0366661195974	74.0368	-1.8082953693371286	[M-H]-	0	-1.0	C3H6O2
8	73.0293901195974	C10920	Glycidol	74.0366661195974	74.0368	-1.8082953693371286	[M-H]-	0	-1.0	C3H6O2
8	73.0293901195974	C17530	Methyl_acetate	74.0366661195974	74.0368	-1.8082953693371286	[M-H]-	0	-1.0	C3H6O2
9	74.0243572758652	C00037	Glycine	75.0316332758652	75.032	-4.88756976746804	[M-H]-	0	-1.0	C2H5NO2
9	74.0243572758652	C01837	Nitroethane	75.0316332758652	75.032	-4.88756976746804	[M-H]-	0	-1.0	C2H5NO2
9	74.0243572758652	C06808	Acetohydroxamic_acid	75.0316332758652	75.032	-4.88756976746804	[M-H]-	0	-1.0	C2H5NO2
9	74.0243572758652	C19445	Methyl_carbamate	75.0316332758652	75.032	-4.88756976746804	[M-H]-	0	-1.0	C2H5NO2
9	74.0243572758652	C14448	Glyoxal	58.005086275865196	58.0055	-7.132498380358692	[M-2H+NH4]-	0	-1.0	C2H2O2
11	79.9571441105585	C11481	HSO3-	80.9644201105585	80.9646	-2.221828323705593	[M-H]-	0	-1.0	HSO3
12	85.0292256877031	C00741	Diacetyl	86.03650168770311	86.0368	-3.4672639718279576	[M-H]-	0	-1.0	C4H6O2
12	85.0292256877031	C01770	gamma-Butyrolactone	86.03650168770311	86.0368	-3.4672639718279576	[M-H]-	0	-1.0	C4H6O2
12	85.0292256877031	C01771	2-Butenoate	86.03650168770311	86.0368	-3.4672639718279576	[M-H]-	0	-1.0	C4H6O2
12	85.0292256877031	C02497	2-Butyne-1,4-diol	86.03650168770311	86.0368	-3.4672639718279576	[M-H]-	0	-1.0	C4H6O2
12	85.0292256877031	C16267	Cyclopropanecarboxylate	86.03650168770311	86.0368	-3.4672639718279576	[M-H]-	0	-1.0	C4H6O2
12	85.0292256877031	C16835	Succinic_aldehyde	86.03650168770311	86.0368	-3.4672639718279576	[M-H]-	0	-1.0	C4H6O2
12	85.0292256877031	C19201	beta-Butyrolactone	86.03650168770311	86.0368	-3.4672639718279576	[M-H]-	0	-1.0	C4H6O2
12	85.0292256877031	C19309	Vinyl_acetate	86.03650168770311	86.0368	-3.4672639718279576	[M-H]-	0	-1.0	C4H6O2
12	85.0292256877031	C19443	Methyl_acrylate	86.03650168770311	86.0368	-3.4672639718279576	[M-H]-	0	-1.0	C4H6O2
15	86.993556633596	C00989	4-Hydroxybutanoic_acid	104.048309267192	104.0473	9.700080559411326	[M+2Cl]2-	0	-2.0	C4H8O3
15	86.993556633596	C01089	(R)-3-Hydroxybutanoate	104.048309267192	104.0473	9.700080559411326	[M+2Cl]2-	0	-2.0	C4H8O3
15	86.993556633596	C01188	3-Hydroxy-2-methylpropanoate	104.048309267192	104.0473	9.700080559411326	[M+2Cl]2-	0	-2.0	C4H8O3
15	86.993556633596	C01991	4-Hydroxyacid	104.048309267192	104.0473	9.700080559411326	[M+2Cl]2-	0	-2.0	C4H8O3
15	86.993556633596	C03197	(S)-3-Hydroxybutanoate	104.048309267192	104.0473	9.700080559411326	[M+2Cl]2-	0	-2.0	C4H8O3
15	86.993556633596	C05984	2-Hydroxybutanoic_acid	104.048309267192	104.0473	9.700080559411326	[M+2Cl]2-	0	-2.0	C4H8O3
15	86.993556633596	C06001	(S)-3-Hydroxyisobutyrate	104.048309267192	104.0473	9.700080559411326	[M+2Cl]2-	0	-2.0	C4H8O3
15	86.993556633596	C14601	Methyl_methoxyacetate	104.048309267192	104.0473	9.700080559411326	[M+2Cl]2-	0	-2.0	C4H8O3
15	86.993556633596	C21297	2-Hydroxy-2-methylpropanoate	104.048309267192	104.0473	9.700080559411326	[M+2Cl]2-	0	-2.0	C4H8O3
16	87.0084828401126	C00022	Pyruvate	88.01575884011261	88.016	-2.739955092197045	[M-H]-	0	-1.0	C3H4O3
16	87.0084828401126	C00222	3-Oxopropanoate	88.01575884011261	88.016	-2.739955092197045	[M-H]-	0	-1.0	C3H4O3
16	87.0084828401126	C12069	3-Hydroxypropenoate	88.01575884011261	88.016	-2.739955092197045	[M-H]-	0	-1.0	C3H4O3
16	87.0084828401126	C20363	Ethylene_carbonate	88.01575884011261	88.016	-2.739955092197045	[M-H]-	0	-1.0	C3H4O3
16	87.0084828401126	C11074	THTC	132.02363826016892	132.0245	-6.527120580393703	[2M-3H]3-	0	-3.0	C5H8O2S
17	87.044873274745	C00246	Butanoic_acid	88.052149274745	88.0524	-2.8474550949248556	[M-H]-	0	-1.0	C4H8O2
17	87.044873274745	C00466	Acetoin	88.052149274745	88.0524	-2.8474550949248556	[M-H]-	0	-1.0	C4H8O2
17	87.044873274745	C00810	(R)-Acetoin	88.052149274745	88.0524	-2.8474550949248556	[M-H]-	0	-1.0	C4H8O2
17	87.044873274745	C00849	Ethyl_acetate	88.052149274745	88.0524	-2.8474550949248556	[M-H]-	0	-1.0	C4H8O2
17	87.044873274745	C01769	(S)-Acetoin	88.052149274745	88.0524	-2.8474550949248556	[M-H]-	0	-1.0	C4H8O2
17	87.044873274745	C02632	2-Methylpropanoate	88.052149274745	88.0524	-2.8474550949248556	[M-H]-	0	-1.0	C4H8O2
17	87.044873274745	C14440	1,4-Dioxane	88.052149274745	88.0524	-2.8474550949248556	[M-H]-	0	-1.0	C4H8O2
17	87.044873274745	C21291	2-Hydroxy-2-methylpropanal	88.052149274745	88.0524	-2.8474550949248556	[M-H]-	0	-1.0	C4H8O2
17	87.044873274745	C13773	1,1-Diethyl-2-hydroxy-2-nitrosohydrazine	132.07822391211752	132.0773	6.9952377699588935	[2M-3H]3-	0	-3.0	C4H10N3O2
17	87.044873274745	C03264	(R)-2-Hydroxyisocaproate	132.07822391211752	132.0786	-2.8474550947096677	[2M-3H]3-	0	-3.0	C6H12O3
17	87.044873274745	C03499	Ethyl_(R)-3-hydroxybutanoate	132.07822391211752	132.0786	-2.8474550947096677	[2M-3H]3-	0	-3.0	C6H12O3
17	87.044873274745	C06103	6-Hydroxyhexanoic_acid	132.07822391211752	132.0786	-2.8474550947096677	[2M-3H]3-	0	-3.0	C6H12O3
17	87.044873274745	C07834	Paraldehyde	132.07822391211752	132.0786	-2.8474550947096677	[2M-3H]3-	0	-3.0	C6H12O3
18	88.0401026330168	C00041	L-Alanine	89.0473786330168	89.0477	-3.608930755097915	[M-H]-	0	-1.0	C3H7NO2
18	88.0401026330168	C00099	beta-Alanine	89.0473786330168	89.0477	-3.608930755097915	[M-H]-	0	-1.0	C3H7NO2
18	88.0401026330168	C00133	D-Alanine	89.0473786330168	89.0477	-3.608930755097915	[M-H]-	0	-1.0	C3H7NO2
18	88.0401026330168	C00213	Sarcosine	89.0473786330168	89.0477	-3.608930755097915	[M-H]-	0	-1.0	C3H7NO2
18	88.0401026330168	C01401	Alanine	89.0473786330168	89.0477	-3.608930755097915	[M-H]-	0	-1.0	C3H7NO2
18	88.0401026330168	C01537	Urethane	89.0473786330168	89.0477	-3.608930755097915	[M-H]-	0	-1.0	C3H7NO2
18	88.0401026330168	C02116	2-Nitropropane	89.0473786330168	89.0477	-3.608930755097915	[M-H]-	0	-1.0	C3H7NO2
18	88.0401026330168	C11488	HMMF	89.0473786330168	89.0477	-3.608930755097915	[M-H]-	0	-1.0	C3H7NO2
18	88.0401026330168	C00511	Acrylic_acid	72.0208316330168	72.0211	-3.726227219615461	[M-2H+NH4]-	0	-1.0	C3H4O2
18	88.0401026330168	C00546	Methylglyoxal	72.0208316330168	72.0211	-3.726227219615461	[M-2H+NH4]-	0	-1.0	C3H4O2
18	88.0401026330168	C19246	Glycidaldehyde	72.0208316330168	72.0211	-3.726227219615461	[M-2H+NH4]-	0	-1.0	C3H4O2
18	88.0401026330168	C19297	Propiolactone	72.0208316330168	72.0211	-3.726227219615461	[M-2H+NH4]-	0	-1.0	C3H4O2
18	88.0401026330168	C19440	Malonaldehyde	72.0208316330168	72.0211	-3.726227219615461	[M-2H+NH4]-	0	-1.0	C3H4O2
19	88.040045903113	C00041	L-Alanine	89.047321903113	89.0477	-4.2460039619735355	[M-H]-	0	-1.0	C3H7NO2
19	88.040045903113	C00099	beta-Alanine	89.047321903113	89.0477	-4.2460039619735355	[M-H]-	0	-1.0	C3H7NO2
19	88.040045903113	C00133	D-Alanine	89.047321903113	89.0477	-4.2460039619735355	[M-H]-	0	-1.0	C3H7NO2
19	88.040045903113	C00213	Sarcosine	89.047321903113	89.0477	-4.2460039619735355	[M-H]-	0	-1.0	C3H7NO2
19	88.040045903113	C01401	Alanine	89.047321903113	89.0477	-4.2460039619735355	[M-H]-	0	-1.0	C3H7NO2
19	88.040045903113	C01537	Urethane	89.047321903113	89.0477	-4.2460039619735355	[M-H]-	0	-1.0	C3H7NO2
19	88.040045903113	C02116	2-Nitropropane	89.047321903113	89.0477	-4.2460039619735355	[M-H]-	0	-1.0	C3H7NO2
19	88.040045903113	C11488	HMMF	89.047321903113	89.0477	-4.2460039619735355	[M-H]-	0	-1.0	C3H7NO2
19	88.040045903113	C00511	Acrylic_acid	72.020774903113	72.0211	-4.513911714907788	[M-2H+NH4]-	0	-1.0	C3H4O2
19	88.040045903113	C00546	Methylglyoxal	72.020774903113	72.0211	-4.513911714907788	[M-2H+NH4]-	0	-1.0	C3H4O2
19	88.040045903113	C19246	Glycidaldehyde	72.020774903113	72.0211	-4.513911714907788	[M-2H+NH4]-	0	-1.0	C3H4O2
19	88.040045903113	C19297	Propiolactone	72.020774903113	72.0211	-4.513911714907788	[M-2H+NH4]-	0	-1.0	C3H4O2
19	88.040045903113	C19440	Malonaldehyde	72.020774903113	72.0211	-4.513911714907788	[M-2H+NH4]-	0	-1.0	C3H4O2
20	88.9878169808221	C00209	Oxalate	89.99509298082211	89.9953	-2.300333216208797	[M-H]-	0	-1.0	C2H2O4
21	88.9877001458165	C00209	Oxalate	89.99497614581651	89.9953	-3.5985677417797333	[M-H]-	0	-1.0	C2H2O4
22	88.9877675424019	C00209	Oxalate	89.9950435424019	89.9953	-2.849677684260582	[M-H]-	0	-1.0	C2H2O4
23	89.0241041935826	C00184	Glycerone	90.0313801935826	90.0317	-3.5521534903192418	[M-H]-	0	-1.0	C3H6O3
23	89.0241041935826	C00186	(S)-Lactate	90.0313801935826	90.0317	-3.5521534903192418	[M-H]-	0	-1.0	C3H6O3
23	89.0241041935826	C00256	(R)-Lactate	90.0313801935826	90.0317	-3.5521534903192418	[M-H]-	0	-1.0	C3H6O3
23	89.0241041935826	C00577	D-Glyceraldehyde	90.0313801935826	90.0317	-3.5521534903192418	[M-H]-	0	-1.0	C3H6O3
23	89.0241041935826	C01013	3-Hydroxypropanoate	90.0313801935826	90.0317	-3.5521534903192418	[M-H]-	0	-1.0	C3H6O3
23	89.0241041935826	C01432	Lactate	90.0313801935826	90.0317	-3.5521534903192418	[M-H]-	0	-1.0	C3H6O3
