ID	mz	accession	name	expMass	calcMass	delta	adduct	adductFromExp	charge	chemical_formula
3	62.023748058897	C01563	Carbamate	61.016472058897	61.0164	1.1809758852376178	[M+H]+	0	1.0	CH3NO2
3	62.023748058897	C19275	Nitromethane	61.016472058897	61.0164	1.1809758852376178	[M+H]+	0	1.0	CH3NO2
3	62.023748058897	C00011	CO2	43.989925058897	43.9898	2.8429066965091483	[M+NH4]+	0	1.0	CO2
4	66.0184440269553	C20302	Methyldiazonium_ion	43.02922602695529	43.0296	-8.691064864870468	[M+Na]+	0	1.0	CH3N2
7	69.0329387603421	C06145	3-Butyn-1-al	68.0256627603421	68.0262	-7.897540328608356	[M+H]+	0	1.0	C4H4O
7	69.0329387603421	C14275	Furan	68.0256627603421	68.0262	-7.897540328608356	[M+H]+	0	1.0	C4H4O
8	69.0693249786344	C16521	Isoprene	68.0620489786344	68.0626	-8.095802476095123	[M+H]+	0	1.0	C5H8
11	70.0648904892727	C02420	Isobutyronitrile	69.0576144892727	69.0578	-2.6863109931952946	[M+H]+	0	1.0	C4H7N
11	70.0648904892727	C15668	1-Pyrroline	69.0576144892727	69.0578	-2.6863109931952946	[M+H]+	0	1.0	C4H7N
12	70.0644984222837	C02420	Isobutyronitrile	69.0572224222837	69.0578	-8.363685438857239	[M+H]+	0	1.0	C4H7N
12	70.0644984222837	C15668	1-Pyrroline	69.0572224222837	69.0578	-8.363685438857239	[M+H]+	0	1.0	C4H7N
15	72.0806620063032	C12244	3-Buten-1-amine	71.0733860063032	71.0735	-1.60388466587698	[M+H]+	0	1.0	C4H9N
15	72.0806620063032	C16450	1,3-Butadiene	54.0468390063032	54.047	-2.978772120473492	[M+NH4]+	0	1.0	C4H6
16	73.0276892061173	C00511	Acrylic_acid	72.0204132061173	72.0211	-9.536009345970735	[M+H]+	0	1.0	C3H4O2
16	73.0276892061173	C00546	Methylglyoxal	72.0204132061173	72.0211	-9.536009345970735	[M+H]+	0	1.0	C3H4O2
16	73.0276892061173	C19246	Glycidaldehyde	72.0204132061173	72.0211	-9.536009345970735	[M+H]+	0	1.0	C3H4O2
16	73.0276892061173	C19297	Propiolactone	72.0204132061173	72.0211	-9.536009345970735	[M+H]+	0	1.0	C3H4O2
16	73.0276892061173	C19440	Malonaldehyde	72.0204132061173	72.0211	-9.536009345970735	[M+H]+	0	1.0	C3H4O2
22	74.0594029055877	C01888	Aminoacetone	73.0521269055877	73.0528	-9.213807168326756	[M+H]+	0	1.0	C3H7NO
22	74.0594029055877	C01995	Acetone_oxime	73.0521269055877	73.0528	-9.213807168326756	[M+H]+	0	1.0	C3H7NO
22	74.0594029055877	C03134	N,N-Dimethylformamide	73.0521269055877	73.0528	-9.213807168326756	[M+H]+	0	1.0	C3H7NO
22	74.0594029055877	C05665	3-Aminopropanal	73.0521269055877	73.0528	-9.213807168326756	[M+H]+	0	1.0	C3H7NO
23	74.0960540943853	C02787	2-Methylpropanamine	73.08877809438529	73.0891	-4.404290307469673	[M+H]+	0	1.0	C4H11N
23	74.0960540943853	C18706	Butylamine	73.08877809438529	73.0891	-4.404290307469673	[M+H]+	0	1.0	C4H11N
31	78.9986889494204	C13391	Aluminum_hydroxide	77.9903	77.9898	6.41109478422034	[M+H]+	1	1.0	Al(OH)3
31	78.9986889494204	C13391	Aluminum_hydroxide	77.9903	77.9898	6.41109478422034	[M+H]+	1	1.0	Al(OH)3
49	84.0803768300098	C06181	Piperideine	83.07310083000979	83.0735	-4.805021940848324	[M+H]+	0	1.0	C5H9N
49	84.0803768300098	C20808	2-Methyl-1-pyrroline	83.07310083000979	83.0735	-4.805021940848324	[M+H]+	0	1.0	C5H9N
50	84.0803977292136	C06181	Piperideine	83.0731217292136	83.0735	-4.553447084799255	[M+H]+	0	1.0	C5H9N
50	84.0803977292136	C20808	2-Methyl-1-pyrroline	83.0731217292136	83.0735	-4.553447084799255	[M+H]+	0	1.0	C5H9N
58	85.0279389033356	C02648	4-Hydroxy-2-butynal	84.02066290333559	84.0211	-5.202224969836878	[M+H]+	0	1.0	C4H4O2
58	85.0279389033356	C06144	3-Butynoate	84.02066290333559	84.0211	-5.202224969836878	[M+H]+	0	1.0	C4H4O2
58	85.0279389033356	C17601	2(5H)-Furanone	84.02066290333559	84.0211	-5.202224969836878	[M+H]+	0	1.0	C4H4O2
58	85.0279389033356	C17602	2(3H)-Furanone	84.02066290333559	84.0211	-5.202224969836878	[M+H]+	0	1.0	C4H4O2
59	85.0391479758545	C06195	Imidazolone	84.0318719758545	84.0324	-6.283578066263309	[M+H]+	0	1.0	C3H4N2O
59	85.0391479758545	C20382	Imidazol-2-one	84.0318719758545	84.0324	-6.283578066263309	[M+H]+	0	1.0	C3H4N2O
64	86.0961609103619	C01746	Piperidine	85.0888849103619	85.0891	-2.527816584073691	[M+H]+	0	1.0	C5H11N
64	86.0961609103619	C20809	(R)-2-Methylpyrrolidine	85.0888849103619	85.0891	-2.527816584073691	[M+H]+	0	1.0	C5H11N
64	86.0961609103619	C16521	Isoprene	68.0623379103619	68.0626	-3.850714461377143	[M+NH4]+	0	1.0	C5H8
65	86.0961590791684	C01746	Piperidine	85.0888830791684	85.0891	-2.549337478064039	[M+H]+	0	1.0	C5H11N
65	86.0961590791684	C20809	(R)-2-Methylpyrrolidine	85.0888830791684	85.0891	-2.549337478064039	[M+H]+	0	1.0	C5H11N
65	86.0961590791684	C16521	Isoprene	68.0623360791684	68.0626	-3.8776190095553518	[M+NH4]+	0	1.0	C5H8
66	86.0959400064363	C01746	Piperidine	85.08866400643629	85.0891	-5.123964922799748	[M+H]+	0	1.0	C5H11N
66	86.0959400064363	C20809	(R)-2-Methylpyrrolidine	85.08866400643629	85.0891	-5.123964922799748	[M+H]+	0	1.0	C5H11N
66	86.0959400064363	C16521	Isoprene	68.0621170064363	68.0626	-7.096313742167111	[M+NH4]+	0	1.0	C5H8
70	87.0436083571217	C00741	Diacetyl	86.0363323571217	86.0368	-5.435382049375341	[M+H]+	0	1.0	C4H6O2
70	87.0436083571217	C01770	gamma-Butyrolactone	86.0363323571217	86.0368	-5.435382049375341	[M+H]+	0	1.0	C4H6O2
70	87.0436083571217	C01771	2-Butenoate	86.0363323571217	86.0368	-5.435382049375341	[M+H]+	0	1.0	C4H6O2
70	87.0436083571217	C02497	2-Butyne-1,4-diol	86.0363323571217	86.0368	-5.435382049375341	[M+H]+	0	1.0	C4H6O2
70	87.0436083571217	C16267	Cyclopropanecarboxylate	86.0363323571217	86.0368	-5.435382049375341	[M+H]+	0	1.0	C4H6O2
70	87.0436083571217	C16835	Succinic_aldehyde	86.0363323571217	86.0368	-5.435382049375341	[M+H]+	0	1.0	C4H6O2
70	87.0436083571217	C19201	beta-Butyrolactone	86.0363323571217	86.0368	-5.435382049375341	[M+H]+	0	1.0	C4H6O2
70	87.0436083571217	C19309	Vinyl_acetate	86.0363323571217	86.0368	-5.435382049375341	[M+H]+	0	1.0	C4H6O2
70	87.0436083571217	C19443	Methyl_acrylate	86.0363323571217	86.0368	-5.435382049375341	[M+H]+	0	1.0	C4H6O2
71	87.0548881281114	C19282	N-Nitrosomethylvinylamine	86.0476121281114	86.048	-4.507622357354884	[M+H]+	0	1.0	C3H6N2O
76	88.0385407196675	C02218	Dehydroalanine	87.03126471966749	87.032	-8.448390620763048	[M+H]+	0	1.0	C3H5NO2
76	88.0385407196675	C06695	2-Oxazolidinone	87.03126471966749	87.032	-8.448390620763048	[M+H]+	0	1.0	C3H5NO2
76	88.0385407196675	C20253	Aminoacrylate	87.03126471966749	87.032	-8.448390620763048	[M+H]+	0	1.0	C3H5NO2
76	88.0385407196675	C20904	2-Iminopropanoate	87.03126471966749	87.032	-8.448390620763048	[M+H]+	0	1.0	C3H5NO2
79	89.0591276856053	C00246	Butanoic_acid	88.0518516856053	88.0524	-6.227137417106629	[M+H]+	0	1.0	C4H8O2
79	89.0591276856053	C00466	Acetoin	88.0518516856053	88.0524	-6.227137417106629	[M+H]+	0	1.0	C4H8O2
79	89.0591276856053	C00810	(R)-Acetoin	88.0518516856053	88.0524	-6.227137417106629	[M+H]+	0	1.0	C4H8O2
79	89.0591276856053	C00849	Ethyl_acetate	88.0518516856053	88.0524	-6.227137417106629	[M+H]+	0	1.0	C4H8O2
79	89.0591276856053	C01769	(S)-Acetoin	88.0518516856053	88.0524	-6.227137417106629	[M+H]+	0	1.0	C4H8O2
79	89.0591276856053	C02632	2-Methylpropanoate	88.0518516856053	88.0524	-6.227137417106629	[M+H]+	0	1.0	C4H8O2
79	89.0591276856053	C14440	1,4-Dioxane	88.0518516856053	88.0524	-6.227137417106629	[M+H]+	0	1.0	C4H8O2
79	89.0591276856053	C21291	2-Hydroxy-2-methylpropanal	88.0518516856053	88.0524	-6.227137417106629	[M+H]+	0	1.0	C4H8O2
81	90.054325901631	C00041	L-Alanine	89.047049901631	89.0477	-7.300563282458992	[M+H]+	0	1.0	C3H7NO2
81	90.054325901631	C00099	beta-Alanine	89.047049901631	89.0477	-7.300563282458992	[M+H]+	0	1.0	C3H7NO2
81	90.054325901631	C00133	D-Alanine	89.047049901631	89.0477	-7.300563282458992	[M+H]+	0	1.0	C3H7NO2
81	90.054325901631	C00213	Sarcosine	89.047049901631	89.0477	-7.300563282458992	[M+H]+	0	1.0	C3H7NO2
81	90.054325901631	C01401	Alanine	89.047049901631	89.0477	-7.300563282458992	[M+H]+	0	1.0	C3H7NO2
81	90.054325901631	C01537	Urethane	89.047049901631	89.0477	-7.300563282458992	[M+H]+	0	1.0	C3H7NO2
81	90.054325901631	C02116	2-Nitropropane	89.047049901631	89.0477	-7.300563282458992	[M+H]+	0	1.0	C3H7NO2
81	90.054325901631	C11488	HMMF	89.047049901631	89.0477	-7.300563282458992	[M+H]+	0	1.0	C3H7NO2
81	90.054325901631	C00511	Acrylic_acid	72.020502901631	72.0211	-8.290603295411028	[M+NH4]+	0	1.0	C3H4O2
81	90.054325901631	C00546	Methylglyoxal	72.020502901631	72.0211	-8.290603295411028	[M+NH4]+	0	1.0	C3H4O2
81	90.054325901631	C19246	Glycidaldehyde	72.020502901631	72.0211	-8.290603295411028	[M+NH4]+	0	1.0	C3H4O2
81	90.054325901631	C19297	Propiolactone	72.020502901631	72.0211	-8.290603295411028	[M+NH4]+	0	1.0	C3H4O2
81	90.054325901631	C19440	Malonaldehyde	72.020502901631	72.0211	-8.290603295411028	[M+NH4]+	0	1.0	C3H4O2
94	93.069112298776	C01455	Toluene	92.061836298776	92.0626	-8.295455744270622	[M+H]+	0	1.0	C7H8
97	95.0486603820488	C00146	Phenol	94.04138438204879	94.0419	-5.4828534005424086	[M+H]+	0	1.0	C6H6O
97	95.0486603820488	C01782	Arene_oxide	94.04138438204879	94.0419	-5.4828534005424086	[M+H]+	0	1.0	C6H6O
97	95.0486603820488	C15584	Phenol	94.04138438204879	94.0419	-5.4828534005424086	[M+H]+	0	1.0	C6H6O
98	95.0485299416624	C00146	Phenol	94.04125394166239	94.0419	-6.869898817529464	[M+H]+	0	1.0	C6H6O
98	95.0485299416624	C01782	Arene_oxide	94.04125394166239	94.0419	-6.869898817529464	[M+H]+	0	1.0	C6H6O
98	95.0485299416624	C15584	Phenol	94.04125394166239	94.0419	-6.869898817529464	[M+H]+	0	1.0	C6H6O
99	95.0483681156606	C00146	Phenol	94.04109211566059	94.0419	-8.59068499688772	[M+H]+	0	1.0	C6H6O
99	95.0483681156606	C01782	Arene_oxide	94.04109211566059	94.0419	-8.59068499688772	[M+H]+	0	1.0	C6H6O
99	95.0483681156606	C15584	Phenol	94.04109211566059	94.0419	-8.59068499688772	[M+H]+	0	1.0	C6H6O
102	97.0278020603641	C07090	Protoanemonin	96.02052606036409	96.0211	-5.977224130042607	[M+H]+	0	1.0	C5H4O2
102	97.0278020603641	C14279	Furfural	96.02052606036409	96.0211	-5.977224130042607	[M+H]+	0	1.0	C5H4O2
103	97.0754332046436	C00747	Pyridine	79.0416102046436	79.0422	-7.461778093097798	[M+NH4]+	0	1.0	C5H5N
104	97.0754494199494	C00747	Pyridine	79.0416264199494	79.0422	-7.256630642856865	[M+NH4]+	0	1.0	C5H5N
110	98.9835818322449	C00009	Orthophosphate	97.97630583224489	97.9769	-6.0643657342769055	[M+H]+	0	1.0	H3PO4
110	98.9835818322449	C12554	Potassium_acetate	97.97630583224489	97.977	-7.085007247762175	[M+H]+	0	1.0	C2H3O2.
111	98.996840586718	C19316	Allyl_chloride	76.00762258671799	76.008	-4.965441558912188	[M+Na]+	0	1.0	C3H5Cl
116	100.955674072201	C06793	Vinyl_chloride	61.992516072201006	61.9923	3.4854683727826963	[M+K]+	0	1.0	C2H3Cl
117	101.022782455193	C19524	Succinic_anhydride	100.01550645519299	100.016	-4.9346585247784915	[M+H]+	0	1.0	C4H4O3
118	101.07037741615	C08305	Gyromitrin	100.06310141614999	100.0637	-5.982027948263577	[M+H]+	0	1.0	C4H8N2O
