"Sample","DoB_2","DoB_4","DoB_6","DoB_8","DoB_11","DoB_13","DoB_15","DoB_17","DoS_3","DoS_5","DoS_7","DoS_9","DoS_12","DoS_14","DoS_16","DoS_18","QC_1","QC_10","QC_19"
"Lable","DoB","DoB","DoB","DoB","DoB","DoB","DoB","DoB","DoS","DoS","DoS","DoS","DoS","DoS","DoS","DoS","QC","QC","QC"
"M1000T181",1549.08463279466,2132.74636665505,1702.7839890977,1415.98327300588,1414.88553506193,1602.9006501454,1515.94975765372,1463.65743101834,2395.53494265781,1965.11849140028,1917.80689220936,1659.38000437791,2721.45530344404,1747.53982086532,2204.193265526,2194.88584461022,1924.7025777345,2841.44225092376,2428.95525654986
"M1000T215",6895.53190367105,7365.27465054282,9715.32054690531,5094.24845444554,8946.9611151275,4656.43313711726,8281.52287897391,4314.511606637,5453.94777012914,4965.69222374902,4024.18348447228,1830.09640526402,4761.31742096929,1601.26471194198,5092.30847371574,2741.11439245133,5979.38881497478,4650.93989412586,5086.52690988354
"M1000T228",1430.78216190655,1352.82585161442,1059.6191747091,1626.49217599369,1333.1999765526,1038.84471122316,1431.26374712543,1338.89274708925,756.856739486743,790.818019222509,570.173316547316,1146.9517364099,869.514325619259,865.165168877314,658.434145728173,979.81681195937,1113.16706724663,1362.57723568259,1474.17368749424
"M1001T184",4216.24011034051,4816.36866600067,5407.11389491544,1967.5674052197,5595.35221730687,4555.26680949822,4921.12661691567,4314.25570806241,688.060629780476,851.583414649894,2579.97934091143,1038.95877391156,611.551439253437,2486.54485583063,1459.47194378557,1912.42245773862,2746.97946073472,3299.17955074684,2254.31634450499
"M1002T311",2061.00150284684,1558.02271823342,1718.66923610039,1564.59101336383,1749.65635173283,2068.45943001148,1418.59229994494,1970.75583629063,29.7439707109045,315.039022050696,53.9956038759156,85.1422622029928,113.341875190684,60.9636500551442,305.211652543775,179.470647510037,2140.47687225961,1833.13554297676,2155.21855404727
"M1005T179_2",275.342000520575,1246.36286563985,590.11314993281,1249.28028581271,612.102256880254,1535.87832243971,789.856454973227,1103.44096403469,2863.25972909032,3305.79133783132,3020.98645981874,2937.44611565525,3422.86837138273,3102.54058726542,3370.09992524685,2240.07753952961,1985.69965246239,2122.07864379337,1556.85806271247
"M1006T179_1",4437.98544090791,2534.07802439312,3466.9264576362,3414.83614511799,3841.65831057145,1451.72587937597,2716.39389555282,2706.7188073621,3877.63115602709,3267.04847814506,2997.86258551968,3329.20833992721,2810.28035122716,3286.23446636314,3158.89943000305,2902.97646986559,3780.35731540365,2946.56708001752,3582.1161251247
"M1006T179_2",334.236131027063,688.892133262595,763.505291198083,451.634413623394,403.258196896778,391.657787582104,901.174451953846,382.999891294039,2608.41084246176,2044.28108530613,1425.94342431413,1766.99785767429,1541.54053164387,1490.31872406686,2076.64718837862,1995.67301439849,844.597375607499,1174.48003002226,761.791405796847
"M1006T205",4290.57850356042,5557.86089750161,4972.01328888713,5712.93967521229,5902.37730636856,4867.29168189539,6627.22023152044,5798.80491406811,5555.92730154569,4591.83834194033,5638.91241441873,5325.88582067938,6215.34652131284,5991.24813383541,5882.50376688516,5927.67741793094,7136.92678569351,5500.17946795886,4566.01050252377
