"Sample","DoB_2","DoB_4","DoB_6","DoB_8","DoB_11","DoB_13","DoB_15","DoB_17","DoS_3","DoS_5","DoS_7","DoS_9","DoS_12","DoS_14","DoS_16","DoS_18","QC_1","QC_10","QC_19"
"Lable","DoB","DoB","DoB","DoB","DoB","DoB","DoB","DoB","DoS","DoS","DoS","DoS","DoS","DoS","DoS","DoS","QC","QC","QC"
"M1000T185",7845.33252638889,4568.07408475741,3866.76484518867,9315.38688887849,5649.70197312618,4845.68637544798,7351.91802106446,6167.26840426385,1932.89329126328,3657.14708940195,3441.69761913152,3403.18444105264,3252.43504331778,2843.61958830946,3669.26235798772,2125.14442260246,4805.20523766918,5736.582482028,4985.70851629142
"M1000T43",139.951959688205,304.624383876878,240.367888469577,208.465731435073,265.802526166517,322.156298940228,266.974901220802,297.384942225625,938.255639799454,561.718272124934,442.033773078912,568.742524822664,567.977533582346,769.065729081454,626.728531340694,918.126981695302,653.255239468103,425.375591949301,529.3649738753
"M1000T484",120.091159731669,73.9019985361928,282.986162720016,149.302442727196,253.813288421681,92.2521489955453,107.031586089423,74.0504683509019,1701.18517479034,1998.43936979937,698.902096594621,1503.26905250506,1452.14342751857,1738.15080880995,1528.98762916881,711.011281753077,684.470054595247,883.375244382456,1154.71133466702
"M1001T162",3489.81440266364,4331.33269079902,3662.90338694413,3168.8171136149,3619.58615992709,3361.96932418196,3510.79148440063,6989.02469633475,2357.20409486527,2360.7966693591,2410.59764016003,2013.56090592273,2038.80531486213,2951.10774080433,2228.63592580188,2587.18747351319,2852.64265378925,2573.05570940964,3144.81697305687
"M1001T44",163.234496085005,494.993569136673,287.479505933071,204.95467696833,382.518512399774,231.234852476435,590.640802335403,453.386309926381,706.764737912299,884.749195217608,481.089017533537,675.607772221928,640.764570448992,735.304800416768,841.447386040643,417.89546395758,469.876934098192,425.033464395342,526.013034071279
"M1001T48",371.69991444582,486.31328414816,342.317765997515,341.891253600418,586.710797549336,451.199483065683,468.526800674959,434.501897210104,474.335405222571,475.704010022795,513.924746509322,601.398188108042,714.673543805128,619.18760567869,567.779448292975,443.771339275876,452.907493072599,510.513655576099,384.911441428102
"M1002T154",418.609653393256,627.232050857014,609.238572938704,590.332924079825,433.420536324893,539.960357937957,554.474326488142,580.679139468887,1209.20305470926,1335.9707130971,832.373995946169,913.287622524793,1031.04047837047,886.546808997355,958.57792314241,980.775040699898,779.074489611401,685.292568603429,986.960507701863
"M1002T162",2278.78359970971,1724.49003841031,2244.62172759635,1739.09424602503,2181.34449794514,2358.56810480019,2669.40001812291,1675.3683417996,1423.71405143956,1111.17639241689,1309.30454423671,1337.81656734749,985.371678336189,1378.2922956674,1036.74388203865,1269.77415804983,1626.84141838403,1803.22975754618,1831.37558978646
"M1002T187",6972.69118229973,7589.07687340844,9854.29759963422,7542.8474886804,5858.521017416,5726.26089328918,7636.2182093031,11680.6318907204,2784.82379367682,2995.67261328384,2593.41311871036,5208.48997498076,3751.98972783175,2821.98742215438,2328.50327732654,2877.20225090546,6690.59024125906,8528.23514816403,5955.0551939954
"M1002T48",473.19839997139,273.407110099353,330.970006856536,207.864541989501,403.895759289769,388.200071917493,350.10159826866,402.828707632078,383.991615129132,560.6242836545,367.251521187126,568.377250056738,553.843417072202,417.00308573107,404.139956645218,514.992610307067,522.561031332189,403.78918707567,433.293383945011
"M1002T55",1916.98764637556,1941.8537579024,1723.01181090107,1072.03171830208,1070.50745080622,2267.67744060873,2043.54914786701,1695.05909645547,2647.88290482873,1246.01500655854,3778.91735476657,2909.71245232583,2270.87037312123,1960.67077837318,1664.3494378804,1853.32425635468,2281.0174133191,3182.02911067399,2807.42682188205
"M1003T153",383.861031114484,769.54388889873,428.519584972687,451.166627960172,600.589863633962,399.031654448041,380.945760742794,673.280098634849,825.29226426703,1048.81859593543,704.073984942088,604.230220032697,1203.7577417042,1063.00684251965,958.826072843656,853.148545019079,713.351545791272,734.512655315383,870.852135383793
"M1003T479",1612.02024671006,2512.14192708035,2557.27772643658,2042.81925853359,2253.84281916004,2939.23377631503,1079.51131444639,3518.70654132898,3627.01802832878,2709.74521521085,3286.54834521616,2544.15100565846,2935.81994701081,3217.02469213955,2076.22135847536,3994.21181470161,3239.1048395103,2584.0409596042,3280.73367385288
"M1004T206",7883.56572357662,8729.56975136847,8637.35208035415,8097.11660807569,8637.51332108461,11172.8003368657,7695.20916210957,9501.95854526789,8999.77540839165,10717.0432013942,8630.34436310873,8156.17004162422,8892.58781363245,9799.29568796319,8568.49215627054,8802.65205819681,8020.80977999054,8334.71735971474,9140.71941261121
"M1005T181",4209.77346992796,6158.98034497299,3332.39485579202,3343.9713439417,3285.45469520938,3580.43257924705,6700.62831688368,5908.60636925612,1257.2725374246,1068.46384326009,1348.7491844126,1308.62837884152,1244.46150270948,1005.96716731212,1167.49686705071,1592.69301630953,2126.11830488848,2422.18639760458,2362.88693153136
